Country (MENA),ISIL,PKK,P(I|A),P(K|A)
Bahrain,2,0,0.000359518,0
Egypt,3,,0.000539277,0
Iran,2,2,0.000359518,0.000935891
Iraq,4797,23,0.862304512,0.010762752
Israel,1,0,0.000179759,0
Jordan,6,0,0.001078555,0
Lebanon,50,0,0.008987956,0
Libya,2,0,0.000359518,0
Saudi Arabia,15,0,0.002696387,0
Syria,594,3,0.106776919,0.001403837
Tunisia,5,0,0.000898796,0
Turkey,82,2109,0.014740248,0.98689752
West Bank and Gaza Strip,3,0,0.000539277,0
Yemen,1,0,0.000179759,0
,,,,
Total number of attacks made ,5563,2137,,
